fastId	X	Y
970	-4214.755	-958.823
971	-4178.927	-961.986
972	-4143.099	-965.147
973	-4163.639	-920.159
974	-4199.845	-916.963
975	-4236.054	-913.766
976	-5430.042	-2332.001
977	-5464.762	-2328.842
978	-5499.482	-2325.685
979	-5475.272	-2284.450
980	-5442.420	-2287.374
981	-5409.570	-2290.298
982	-5408.195	-2189.715
983	-5440.781	-2186.817
984	-5473.365	-2183.918
985	-5468.102	-2141.784
986	-5431.963	-2145.482
987	-5395.767	-2148.703
988	-6725.471	-1538.364
989	-6689.142	-1541.577
990	-6652.813	-1544.793
991	-6616.484	-1548.006
992	-6253.095	-1579.194
993	-6216.765	-1582.416
994	-6180.437	-1585.639
995	-6144.108	-1588.862
996	-6107.780	-1592.084
997	-6072.095	-1599.245
998	-6018.586	-1598.495
999	-5984.217	-1601.548
1000	-5946.863	-1604.864
1001	-6038.867	-1614.102
1002	-5928.167	-1625.543
